comparison,regc2018_name,mobility
previous_week,Northland Region,15.9
previous_week,Auckland Region,25.1
previous_week,Waikato Region,23.1
previous_week,Bay of Plenty Region,24.4
previous_week,Gisborne Region,18.9
previous_week,Hawke's Bay Region,21.1
previous_week,Taranaki Region,25.3
previous_week,Manawatu-Wanganui Region,18.4
previous_week,Wellington Region,20
previous_week,West Coast Region,15.9
previous_week,Canterbury Region,30.2
previous_week,Otago Region,22.3
previous_week,Southland Region,22.9
previous_week,Tasman Region,24.4
previous_week,Nelson Region,37.8
previous_week,Marlborough Region,12.9
previous_year,Northland Region,-23
previous_year,Auckland Region,-23.6
previous_year,Waikato Region,-24.9
previous_year,Bay of Plenty Region,-26
previous_year,Gisborne Region,-25.6
previous_year,Hawke's Bay Region,-22.2
previous_year,Taranaki Region,-35.9
previous_year,Manawatu-Wanganui Region,-22.6
previous_year,Wellington Region,-41.7
previous_year,West Coast Region,-42.5
previous_year,Canterbury Region,-24
previous_year,Otago Region,-26.9
previous_year,Southland Region,-28.2
previous_year,Tasman Region,-18.1
previous_year,Nelson Region,-20.9
previous_year,Marlborough Region,-5.1
