comparison,regc2018_name,mobility
previous_week,Northland Region,5.3
previous_week,Auckland Region,15
previous_week,Waikato Region,6.7
previous_week,Bay of Plenty Region,9
previous_week,Gisborne Region,22
previous_week,Hawke's Bay Region,25.7
previous_week,Taranaki Region,26
previous_week,Manawatu-Wanganui Region,18
previous_week,Wellington Region,22.6
previous_week,West Coast Region,0.1
previous_week,Canterbury Region,10.1
previous_week,Otago Region,9.6
previous_week,Southland Region,7.3
previous_week,Tasman Region,6
previous_week,Nelson Region,10.9
previous_week,Marlborough Region,5.9
previous_year,Northland Region,9.7
previous_year,Auckland Region,-2.8
previous_year,Waikato Region,-7.4
previous_year,Bay of Plenty Region,2
previous_year,Gisborne Region,10.5
previous_year,Hawke's Bay Region,16.2
previous_year,Taranaki Region,12.9
previous_year,Manawatu-Wanganui Region,5.3
previous_year,Wellington Region,-5.1
previous_year,West Coast Region,25.8
previous_year,Canterbury Region,2.6
previous_year,Otago Region,8.5
previous_year,Southland Region,2.4
previous_year,Tasman Region,7.2
previous_year,Nelson Region,13.2
previous_year,Marlborough Region,22.2
