comparison,regc2018_name,mobility
previous_week,Northland Region,1.1
previous_year,Northland Region,0.2
previous_week,Auckland Region,2.4
previous_year,Auckland Region,-40.7
previous_week,Waikato Region,2.9
previous_year,Waikato Region,-40.4
previous_week,Bay of Plenty Region,2.7
previous_year,Bay of Plenty Region,-42
previous_week,Gisborne Region,-2.6
previous_year,Gisborne Region,-7.5
previous_week,Hawke's Bay Region,-0
previous_year,Hawke's Bay Region,-37
previous_week,Taranaki Region,1.9
previous_year,Taranaki Region,-49.7
previous_week,Manawatu-Wanganui Region,1.4
previous_year,Manawatu-Wanganui Region,-35.7
previous_week,Wellington Region,0.8
previous_year,Wellington Region,-52.6
previous_week,West Coast Region,-1.9
previous_year,West Coast Region,-26.7
previous_week,Canterbury Region,2.2
previous_year,Canterbury Region,-44
previous_week,Otago Region,2.2
previous_year,Otago Region,-42
previous_week,Southland Region,5.4
previous_year,Southland Region,-44.8
previous_week,Tasman Region,3.3
previous_year,Tasman Region,-35.8
previous_week,Nelson Region,2.8
previous_year,Nelson Region,-43.6
previous_week,Marlborough Region,3.8
previous_year,Marlborough Region,-19.7
