sa2_type,timestamp,pop_scaled
Recreational,2020-03-15T01:00:00Z,3.851610087410481
Recreational,2020-03-15T02:00:00Z,3.8418877773451414
Recreational,2020-03-15T03:00:00Z,3.8710547075411594
Recreational,2020-03-15T04:00:00Z,3.8790613158302625
Recreational,2020-03-15T05:00:00Z,3.8973621347767837
Recreational,2020-03-15T06:00:00Z,3.9774282176678137
Recreational,2020-03-15T07:00:00Z,4.297120648639855
Recreational,2020-03-15T08:00:00Z,4.573920535205987
Recreational,2020-03-15T09:00:00Z,4.748922116382095
Recreational,2020-03-15T10:00:00Z,4.728905595659338
Recreational,2020-03-15T11:00:00Z,4.63854530211089
Recreational,2020-03-15T12:00:00Z,4.510439569485242
Recreational,2020-03-15T13:00:00Z,4.378330532715043
Recreational,2020-03-15T14:00:00Z,3.925385263788644
Recreational,2020-03-15T15:00:00Z,3.2585491734247802
Recreational,2020-03-15T16:00:00Z,2.774149371934049
Recreational,2020-03-15T17:00:00Z,2.004943075588082
Recreational,2020-03-15T18:00:00Z,1.5302655841626898
Recreational,2020-03-15T19:00:00Z,1.1876971295074972
Recreational,2020-03-15T20:00:00Z,0.9103253423492861
Recreational,2020-03-15T21:00:00Z,0.7010097256484505
Recreational,2020-03-15T22:00:00Z,0.5111387290782937
Recreational,2020-03-15T23:00:00Z,0.3858924994130396
Recreational,2020-03-16T00:00:00Z,-0.2329039412162065
Recreational,2020-03-16T01:00:00Z,-0.22718493529541864
Recreational,2020-03-16T02:00:00Z,-0.2168907246380005
Recreational,2020-03-16T03:00:00Z,-0.22832873647957622
Recreational,2020-03-16T04:00:00Z,-0.25577996489935795
Recreational,2020-03-16T05:00:00Z,-0.32383613535673345
Recreational,2020-03-16T06:00:00Z,-0.405046019431921
Recreational,2020-03-16T07:00:00Z,-0.3472840596319636
Recreational,2020-03-16T08:00:00Z,-0.5016972194932358
Recreational,2020-03-16T09:00:00Z,-0.5302922490971751
Recreational,2020-03-16T10:00:00Z,-0.5800476006080294
Recreational,2020-03-16T11:00:00Z,-0.7985136267821256
Recreational,2020-03-16T12:00:00Z,-0.9231879558553008
Recreational,2020-03-16T13:00:00Z,-0.9843813192077309
Recreational,2020-03-16T14:00:00Z,-0.9860970209839672
Recreational,2020-03-16T15:00:00Z,-1.1250688648591123
Recreational,2020-03-16T16:00:00Z,-1.05072178788887
Recreational,2020-03-16T17:00:00Z,-0.9037433357246221
Recreational,2020-03-16T18:00:00Z,-0.7802128078356044
Recreational,2020-03-16T19:00:00Z,-0.674411198301029
Recreational,2020-03-16T20:00:00Z,-0.6766988006693442
Recreational,2020-03-16T21:00:00Z,-0.7047219296812047
Recreational,2020-03-16T22:00:00Z,-0.7779252054672893
Recreational,2020-03-16T23:00:00Z,-0.8471251771088223
Recreational,2020-03-17T00:00:00Z,-0.7847880125722347
Recreational,2020-03-17T01:00:00Z,-0.7590524859286893
Recreational,2020-03-17T02:00:00Z,-0.7819285096118408
Recreational,2020-03-17T03:00:00Z,-0.7825004102039196
Recreational,2020-03-17T04:00:00Z,-0.754477281192059
Recreational,2020-03-17T05:00:00Z,-0.8385466682276406
Recreational,2020-03-17T06:00:00Z,-0.9592176931562644
Recreational,2020-03-17T07:00:00Z,-0.9809499156552582
Recreational,2020-03-17T08:00:00Z,-0.9981069334176218
Recreational,2020-03-17T09:00:00Z,-1.0735978115720215
Recreational,2020-03-17T10:00:00Z,-1.1719647134095725
Recreational,2020-03-17T11:00:00Z,-1.362979511163887
Recreational,2020-03-17T12:00:00Z,-1.525971179906341
Recreational,2020-03-17T13:00:00Z,-1.5477034024053349
Recreational,2020-03-17T14:00:00Z,-1.568291823720171
Recreational,2020-03-17T15:00:00Z,-1.5883083444429287
Recreational,2020-03-17T16:00:00Z,-1.4567712082648079
Recreational,2020-03-17T17:00:00Z,-1.2468836909718934
Recreational,2020-03-17T18:00:00Z,-1.0289895653898762
Recreational,2020-03-17T19:00:00Z,-0.8677135984236586
Recreational,2020-03-17T20:00:00Z,-0.8093797380316224
Recreational,2020-03-17T21:00:00Z,-0.826536755793986
Recreational,2020-03-17T22:00:00Z,-0.9243317570394584
Recreational,2020-03-17T23:00:00Z,-1.0232705594690883
Recreational,2020-03-18T00:00:00Z,-0.8185301475048831
