comparison,regc2018_name,mobility
previous_week,Northland Region,28
previous_week,Auckland Region,32
previous_week,Waikato Region,25
previous_week,Bay of Plenty Region,34.5
previous_week,Gisborne Region,24.1
previous_week,Hawke's Bay Region,23.7
previous_week,Taranaki Region,26.7
previous_week,Manawatu-Wanganui Region,19.8
previous_week,Wellington Region,39.8
previous_week,West Coast Region,26.8
previous_week,Canterbury Region,28.9
previous_week,Otago Region,36.5
previous_week,Southland Region,20
previous_week,Tasman Region,28.8
previous_week,Nelson Region,30.5
previous_week,Marlborough Region,7.8
previous_year,Northland Region,16.9
previous_year,Auckland Region,-15.5
previous_year,Waikato Region,-8.4
previous_year,Bay of Plenty Region,1.2
previous_year,Gisborne Region,1.5
previous_year,Hawke's Bay Region,-12.7
previous_year,Taranaki Region,-13.4
previous_year,Manawatu-Wanganui Region,-11.9
previous_year,Wellington Region,-27.5
previous_year,West Coast Region,9.7
previous_year,Canterbury Region,-13.1
previous_year,Otago Region,-8.7
previous_year,Southland Region,-9.6
previous_year,Tasman Region,-5
previous_year,Nelson Region,-2.3
previous_year,Marlborough Region,5.6
