days,sa2_type,mobility
2020-04-20,Transit,-69.18
2020-05-24,Transit,-0.69
2020-03-08,Workplace,-10.12
2020-03-14,Tourism,5.31
2020-03-20,Transit,-18.89
2020-03-04,Residential,0.35
2020-03-02,Residential,3.3
2020-04-09,Recreational,-17.08
2020-03-22,Transit,-16.93
2020-03-09,Transit,1.01
2020-05-03,Residential,-34.2
2020-05-21,Tourism,-51.31
2020-04-27,Tourism,-82.45
2020-05-25,Residential,-6.43
2020-04-16,Residential,-54.2
2020-03-14,Retail,-21.06
2020-03-30,Residential,-55.63
2020-03-19,Transit,-10.24
2020-03-07,Residential,-5.86
2020-05-19,Workplace,-25.1
2020-05-12,Recreational,-14.86
2020-03-23,Residential,-9.02
2020-04-28,Recreational,-8.92
2020-03-15,Tourism,10.56
2020-03-11,Transit,-1.17
2020-04-29,Retail,-60.9
2020-04-07,Tourism,-73.73
2020-03-02,Retail,-11.47
2020-05-02,Retail,-73.44
2020-04-23,Recreational,-18.58
2020-03-10,Residential,0.37
2020-05-16,Recreational,-13.17
2020-03-07,Workplace,-11.53
2020-05-06,Transit,-49.42
2020-03-21,Retail,-34.52
2020-04-01,Workplace,-78.71
2020-03-05,Workplace,1.89
2020-04-12,Recreational,-61.32
2020-03-22,Retail,-42.59
2020-03-03,Retail,-8.01
2020-04-10,Tourism,-82.7
2020-03-25,Recreational,-19.31
2020-04-19,Residential,-33.82
2020-05-06,Tourism,-66.39
2020-04-08,Workplace,-77.96
2020-04-11,Tourism,-79.64
2020-04-07,Retail,-78.88
2020-04-09,Residential,-55.13
2020-04-16,Retail,-79.11
2020-05-22,Residential,-8.23
2020-04-28,Tourism,-62.67
2020-03-03,Recreational,-4.95
2020-03-10,Recreational,-10.36
2020-03-27,Recreational,-42.63
2020-05-16,Transit,-8.8
2020-05-17,Tourism,-61.14
2020-03-11,Retail,-7.74
2020-05-05,Retail,-61.23
2020-04-14,Retail,-78.2
2020-03-29,Recreational,-57.72
2020-04-18,Transit,-38.38
2020-04-02,Tourism,-76.73
2020-04-12,Retail,-85.77
2020-05-22,Tourism,-55.26
2020-05-11,Recreational,-34.31
2020-04-29,Residential,-43.5
2020-05-25,Retail,2.84
2020-04-11,Residential,-33.25
2020-04-17,Retail,-76.99
2020-03-28,Transit,-36.28
2020-04-08,Tourism,-72.17
2020-03-31,Tourism,-75.11
2020-05-12,Workplace,-56.39
2020-04-23,Retail,-75.89
2020-04-05,Workplace,-68.91
2020-05-03,Tourism,-85.76
2020-04-11,Workplace,-69.88
2020-04-04,Recreational,-48.78
2020-05-09,Residential,-24.2
2020-05-10,Transit,-13.54
2020-03-17,Transit,-10.1
2020-05-23,Workplace,-8.49
2020-05-04,Transit,-51.83
2020-05-08,Transit,-46.18
2020-05-12,Tourism,-64.41
2020-03-05,Residential,1.66
2020-03-15,Recreational,21.59
2020-05-17,Recreational,8.72
2020-04-01,Transit,-68.95
2020-04-13,Workplace,-89.01
2020-05-05,Tourism,-65.95
2020-03-12,Retail,-7.31
2020-05-16,Workplace,-22.86
2020-05-20,Tourism,-50.54
2020-03-12,Workplace,0.21
2020-05-06,Recreational,-14.45
2020-05-18,Recreational,-16.35
2020-05-19,Recreational,-1.64
2020-03-23,Recreational,-21.67
2020-04-25,Residential,-33.48
2020-03-06,Transit,-3.25
2020-05-15,Retail,-6.5
2020-03-12,Residential,1.44
2020-04-13,Transit,-72.5
2020-05-15,Recreational,-2.63
2020-05-25,Workplace,-16.08
2020-03-24,Retail,-30.4
2020-03-25,Transit,-55.56
2020-04-02,Transit,-64.99
2020-04-18,Tourism,-81.21
2020-03-25,Retail,-42.39
2020-03-05,Transit,-0.75
2020-05-11,Workplace,-52.94
2020-04-14,Transit,-70.32
2020-03-29,Transit,-38.29
2020-03-28,Residential,-34.24
2020-04-15,Transit,-70.26
2020-05-08,Tourism,-67.13
2020-04-03,Retail,-77.73
2020-05-20,Retail,0.42
2020-04-02,Retail,-79.79
2020-03-09,Recreational,-11.11
2020-05-11,Transit,-45.45
2020-05-04,Workplace,-55.02
2020-05-08,Recreational,-42.32
2020-03-14,Residential,-6.56
2020-03-18,Retail,-14.63
2020-04-27,Residential,-58.86
2020-03-31,Recreational,-11.53
2020-03-23,Transit,-29.32
2020-04-11,Recreational,-49.9
2020-05-02,Workplace,-59
2020-04-23,Tourism,-74.76
2020-03-10,Transit,0.4
2020-05-02,Residential,-28.57
2020-04-29,Workplace,-57.43
2020-04-10,Recreational,-45.11
2020-05-20,Workplace,-21.7
2020-03-28,Retail,-85.29
2020-04-06,Recreational,-29.46
2020-04-05,Residential,-35.2
2020-05-24,Workplace,-13.45
2020-05-24,Residential,0.22
2020-03-18,Transit,-10.22
2020-03-19,Workplace,-8.83
2020-04-21,Tourism,-74.51
2020-04-24,Transit,-62.32
2020-03-30,Transit,-68.13
2020-03-30,Recreational,-24.97
2020-03-10,Tourism,0.54
2020-04-12,Workplace,-70.15
2020-03-20,Workplace,-11.64
2020-05-25,Recreational,-13.74
2020-05-23,Transit,2.71
2020-04-02,Residential,-56.26
2020-04-16,Transit,-69.3
2020-05-15,Workplace,-37.41
2020-04-25,Workplace,-70.81
2020-03-30,Retail,-79.46
2020-04-04,Tourism,-80.18
2020-04-24,Retail,-76.1
2020-04-26,Workplace,-65.53
2020-03-11,Recreational,-17.66
2020-05-09,Recreational,-42.81
2020-04-06,Retail,-79.53
2020-05-05,Workplace,-57.55
2020-04-10,Residential,-61.55
2020-03-26,Recreational,-4.59
2020-05-19,Transit,-16.14
2020-05-14,Tourism,-60.95
2020-05-09,Transit,-15.5
2020-04-13,Tourism,-82
2020-04-03,Tourism,-75.3
2020-03-09,Tourism,4.93
2020-04-01,Tourism,-75.42
2020-03-26,Tourism,-69.97
2020-04-16,Tourism,-75.78
2020-03-23,Tourism,-35.77
2020-03-28,Tourism,-74.18
2020-03-26,Workplace,-76.16
2020-04-25,Transit,-36
2020-03-06,Retail,-12.34
2020-03-06,Recreational,19.25
2020-04-30,Tourism,-66.38
2020-05-16,Residential,-3.39
2020-03-03,Tourism,0.59
2020-05-08,Residential,-40.44
2020-05-23,Retail,14.85
2020-04-22,Transit,-66.19
2020-05-10,Workplace,-59.4
2020-05-16,Retail,-1.43
2020-04-24,Residential,-50.84
2020-03-05,Tourism,5.18
2020-04-30,Residential,-43.4
2020-04-28,Workplace,-57.16
2020-05-07,Workplace,-55.36
2020-04-21,Transit,-67.44
2020-04-10,Retail,-91.98
2020-04-04,Transit,-41.18
2020-04-26,Retail,-77.84
2020-04-23,Residential,-53.98
2020-04-20,Workplace,-77.34
2020-03-02,Workplace,7.27
2020-05-01,Transit,-49.88
2020-04-23,Workplace,-75.73
2020-03-13,Residential,-0.16
2020-03-16,Transit,2.48
2020-04-03,Workplace,-78.49
2020-03-17,Recreational,-25.41
2020-03-27,Transit,-67.67
2020-05-19,Tourism,-50.58
2020-04-11,Transit,-35.14
2020-05-24,Recreational,1.37
2020-04-15,Recreational,-19.01
2020-05-18,Transit,-21.62
2020-04-22,Retail,-76.51
2020-04-28,Transit,-49.94
2020-04-27,Workplace,-87.13
2020-05-06,Workplace,-55.5
2020-05-17,Retail,-4.99
2020-05-02,Transit,-29.2
2020-03-24,Transit,-49.34
2020-05-01,Recreational,-40.06
2020-05-04,Residential,-43.06
2020-05-24,Retail,13.59
2020-04-24,Workplace,-73.92
2020-03-16,Workplace,2.47
2020-03-27,Retail,-80.91
2020-03-19,Residential,-6.84
2020-03-09,Retail,-11.94
2020-04-08,Transit,-70.79
2020-03-31,Workplace,-79.91
2020-03-05,Recreational,-9.15
2020-05-03,Recreational,-58.92
2020-05-10,Residential,-25.48
2020-05-18,Retail,0.77
2020-04-09,Transit,-72.3
2020-03-15,Retail,-23.08
2020-03-18,Recreational,-24.24
2020-04-22,Residential,-54.35
2020-04-30,Recreational,-17.58
2020-05-14,Residential,-27.7
2020-04-26,Tourism,-83.9
2020-05-21,Residential,-9.18
2020-04-01,Residential,-56.48
2020-03-24,Tourism,-46.65
2020-04-22,Tourism,-74.66
2020-03-24,Recreational,-19.74
2020-03-31,Transit,-69.88
2020-03-10,Retail,-11.29
2020-03-07,Recreational,54.37
2020-03-03,Residential,0.72
2020-04-13,Recreational,-32.32
2020-04-21,Workplace,-78.41
2020-04-07,Recreational,-8.59
2020-04-21,Recreational,-12.67
2020-05-02,Tourism,-81.38
2020-05-13,Tourism,-66.59
2020-05-19,Retail,-1.27
2020-05-22,Workplace,-20.78
2020-05-07,Tourism,-66.41
2020-04-15,Tourism,-75.11
2020-03-23,Workplace,-18.3
2020-03-22,Workplace,-41.25
2020-04-19,Recreational,-59.43
2020-03-26,Residential,-42.71
2020-03-09,Residential,3.52
2020-05-09,Retail,-72.48
2020-04-13,Retail,-83.56
2020-04-25,Tourism,-81.92
2020-05-22,Retail,4.65
2020-03-21,Residential,-21
2020-03-02,Recreational,-26.03
2020-03-21,Workplace,-34.44
2020-03-16,Recreational,-33.67
2020-03-16,Retail,-12.46
2020-03-11,Tourism,5.76
2020-05-23,Tourism,-58.67
2020-04-19,Transit,-33.91
2020-04-02,Workplace,-79.48
2020-04-21,Residential,-55.08
2020-04-27,Transit,-69.62
2020-04-18,Residential,-33.8
2020-04-17,Residential,-54.04
2020-03-18,Tourism,-12.96
2020-04-04,Workplace,-72.64
2020-05-20,Residential,-9.3
2020-04-30,Retail,-59.97
2020-04-29,Tourism,-67.57
2020-03-19,Retail,-15.21
2020-05-20,Recreational,-1.1
2020-04-18,Retail,-81.41
2020-04-18,Workplace,-71.57
2020-04-05,Tourism,-85.46
2020-03-08,Tourism,-12.8
2020-04-02,Recreational,-17.36
2020-03-29,Workplace,-69.18
2020-05-01,Tourism,-68.79
2020-05-16,Tourism,-59.59
2020-03-10,Workplace,0.06
2020-03-07,Transit,13.02
2020-04-14,Tourism,-74.3
2020-05-06,Retail,-59.36
2020-05-17,Workplace,-25.09
2020-04-18,Recreational,-52.19
2020-04-07,Transit,-71.07
2020-03-29,Tourism,-80.64
2020-04-01,Recreational,-15.86
2020-05-10,Tourism,-82.76
2020-04-27,Recreational,-31.14
2020-03-03,Transit,-2.31
2020-04-26,Transit,-32.47
2020-05-09,Workplace,-56.46
2020-04-15,Workplace,-78.32
2020-03-17,Tourism,-10.27
2020-03-20,Retail,-17.93
2020-03-06,Tourism,7.05
2020-03-19,Recreational,-25.13
2020-03-24,Workplace,-44.87
2020-05-08,Retail,-59.6
2020-05-22,Transit,-16.4
2020-05-07,Transit,-47.44
2020-05-03,Transit,-23.15
2020-03-13,Retail,-11.8
2020-03-21,Recreational,-20.43
2020-04-19,Retail,-84.24
2020-05-08,Workplace,-54.61
2020-04-05,Retail,-84.66
2020-04-14,Recreational,-16.19
2020-05-13,Transit,-48.73
2020-04-04,Residential,-33.72
2020-04-29,Transit,-52.51
2020-04-08,Retail,-76.37
2020-04-03,Transit,-67.55
2020-03-27,Tourism,-74.73
2020-04-29,Recreational,-14.72
2020-03-17,Retail,-15.5
2020-04-25,Recreational,-50.49
2020-04-17,Recreational,-45.75
