days,sa2_type,mobility
2020-05-13,Retail,-56.19
2020-05-10,Retail,-75.55
2020-04-11,Retail,-78.99
2020-03-03,Workplace,-0.15
2020-04-19,Tourism,-85.22
2020-05-14,Recreational,0.2
2020-05-15,Transit,-45.33
2020-03-08,Transit,-4.43
2020-05-19,Residential,-10.99
2020-03-20,Residential,-8.53
2020-03-22,Recreational,3.97
2020-04-08,Residential,-55.27
2020-03-31,Residential,-57.59
2020-04-06,Transit,-69.18
2020-04-10,Transit,-64.41
2020-03-04,Recreational,-15.13
2020-05-17,Transit,7.18
2020-04-25,Retail,-80.1
2020-03-04,Workplace,3.75
2020-04-12,Tourism,-82.81
2020-05-15,Tourism,-57.95
2020-03-24,Residential,-34.76
2020-04-10,Workplace,-89.96
2020-03-08,Residential,-1.16
2020-04-20,Residential,-54.34
2020-05-12,Transit,-49.64
2020-04-06,Workplace,-78.02
2020-04-07,Workplace,-79.58
2020-05-12,Residential,-41.97
2020-03-18,Workplace,-6.17
2020-04-15,Retail,-78.37
2020-03-18,Residential,-6.25
2020-05-06,Residential,-42.02
2020-05-12,Retail,-56.97
2020-05-04,Recreational,-25.47
2020-05-18,Residential,-6.66
2020-05-14,Retail,-10.06
2020-05-17,Residential,-3.09
2020-05-10,Recreational,-51.85
2020-04-22,Workplace,-76.51
2020-05-15,Residential,-25.3
2020-05-13,Recreational,-16.73
2020-05-21,Workplace,-21.71
2020-05-05,Transit,-53.15
2020-03-13,Recreational,6.46
2020-03-27,Residential,-54.14
2020-04-19,Workplace,-69.57
2020-03-04,Retail,-5.76
2020-05-21,Retail,-2.79
2020-05-14,Workplace,-37.71
2020-05-03,Workplace,-61.61
2020-03-13,Tourism,1.68
2020-03-20,Tourism,-25.27
2020-03-20,Recreational,2.45
2020-05-25,Tourism,-50.14
2020-05-21,Transit,-14.86
2020-03-14,Workplace,-16.18
2020-05-25,Transit,-9.38
2020-03-25,Tourism,-63.6
2020-03-12,Tourism,6.84
2020-04-30,Workplace,-58.05
2020-03-25,Workplace,-57.47
2020-03-15,Residential,-6.61
2020-04-26,Recreational,-59.77
2020-03-16,Residential,1.42
2020-03-14,Recreational,0.83
2020-05-07,Recreational,-9.49
2020-04-16,Workplace,-78.27
2020-04-06,Residential,-55.36
2020-03-02,Tourism,2.08
2020-03-11,Residential,1.78
2020-03-07,Retail,-22.54
2020-05-20,Transit,-16.85
2020-04-23,Transit,-67.83
2020-04-08,Recreational,-13.17
2020-04-16,Recreational,-14.25
2020-04-24,Tourism,-75.81
2020-05-09,Tourism,-73.41
2020-04-28,Residential,-41.69
2020-04-09,Tourism,-74.27
2020-03-29,Residential,-31.5
2020-03-17,Residential,-5.35
2020-03-11,Workplace,3.2
2020-03-07,Tourism,-7.5
2020-04-27,Retail,-81.73
2020-05-05,Residential,-44.78
2020-04-17,Transit,-68.81
2020-03-22,Residential,-24.81
2020-05-24,Tourism,-62.75
2020-03-08,Recreational,26.39
2020-05-07,Residential,-41.13
2020-05-05,Recreational,-15.87
2020-03-30,Workplace,-78.11
2020-04-14,Residential,-56.68
2020-05-14,Transit,-42.15
2020-03-31,Retail,-79.03
2020-05-07,Retail,-61.02
2020-03-15,Workplace,-14.16
2020-04-01,Retail,-78.4
2020-03-15,Transit,-13.64
2020-04-20,Retail,-79.39
2020-03-30,Tourism,-73.54
2020-03-28,Recreational,-46.77
2020-03-06,Workplace,-1.36
2020-04-09,Retail,-76.69
2020-04-20,Tourism,-73.22
2020-04-03,Residential,-53.8
2020-05-22,Recreational,-2.96
2020-04-26,Residential,-30.87
2020-03-26,Retail,-81.84
2020-04-05,Transit,-44.27
2020-05-11,Residential,-40.28
2020-03-08,Retail,-22.49
2020-04-12,Residential,-34.61
2020-05-01,Residential,-41.14
2020-04-09,Workplace,-77.94
2020-05-23,Residential,7.06
2020-04-12,Transit,-33.86
2020-05-11,Retail,-60.38
2020-04-06,Tourism,-72.83
2020-03-12,Recreational,-15.84
2020-05-01,Retail,-59.31
2020-03-27,Workplace,-78.54
2020-03-13,Workplace,-1.99
2020-03-17,Workplace,-5.6
2020-05-02,Recreational,-42.17
2020-03-05,Retail,-11.61
2020-04-17,Workplace,-77.74
2020-03-23,Retail,-18.21
2020-03-06,Residential,0.07
2020-03-26,Transit,-54.03
2020-04-05,Recreational,-59.45
2020-04-17,Tourism,-74.05
2020-03-21,Transit,-23.59
2020-03-04,Tourism,6.41
2020-03-04,Transit,-6.12
2020-03-22,Tourism,-36
2020-05-18,Workplace,-21.92
2020-05-04,Tourism,-67.77
2020-04-24,Recreational,-48.86
2020-05-03,Retail,-76.7
2020-04-07,Residential,-56.66
2020-03-29,Retail,-86.07
2020-05-13,Residential,-40.05
2020-05-13,Workplace,-53.2
2020-05-04,Retail,-60.96
2020-04-13,Residential,-63.01
2020-04-15,Residential,-55.76
2020-04-03,Recreational,-44.18
2020-05-18,Tourism,-52.24
2020-04-22,Recreational,-22.07
2020-04-21,Retail,-79.87
2020-05-23,Recreational,-3.52
2020-04-28,Retail,-58.23
2020-05-21,Recreational,-2.36
2020-04-20,Recreational,-28.93
2020-04-30,Transit,-47.73
2020-03-28,Workplace,-72.63
2020-03-12,Transit,-6.49
2020-03-25,Residential,-43.88
2020-05-11,Tourism,-63.59
2020-03-13,Transit,2.28
2020-05-01,Workplace,-56.8
2020-03-14,Transit,-15.36
2020-04-14,Workplace,-78.7
2020-03-02,Transit,4.18
2020-03-09,Workplace,3.55
2020-03-21,Tourism,-42.15
2020-03-19,Tourism,-22.18
2020-03-16,Tourism,-4.41
2020-04-04,Retail,-84.32
