comparison,regc2018_name,mobility
previous_week,Northland Region,10.8
previous_week,Auckland Region,17.8
previous_week,Waikato Region,18
previous_week,Bay of Plenty Region,15.2
previous_week,Gisborne Region,4.2
previous_week,Hawke's Bay Region,10.9
previous_week,Taranaki Region,22.3
previous_week,Manawatu-Wanganui Region,19.9
previous_week,Wellington Region,33.7
previous_week,West Coast Region,12.5
previous_week,Canterbury Region,20.3
previous_week,Otago Region,19.2
previous_week,Southland Region,21.6
previous_week,Tasman Region,14.4
previous_week,Nelson Region,20.7
previous_week,Marlborough Region,16
previous_year,Northland Region,-8.6
previous_year,Auckland Region,-36.1
previous_year,Waikato Region,-26.1
previous_year,Bay of Plenty Region,-24.5
previous_year,Gisborne Region,-17.3
previous_year,Hawke's Bay Region,-28.8
previous_year,Taranaki Region,-33
previous_year,Manawatu-Wanganui Region,-27.5
previous_year,Wellington Region,-48.4
previous_year,West Coast Region,-16.4
previous_year,Canterbury Region,-33.1
previous_year,Otago Region,-34
previous_year,Southland Region,-25.6
previous_year,Tasman Region,-27
previous_year,Nelson Region,-26.2
previous_year,Marlborough Region,-1.7
