days,regc2018_name,mobility
2020-03-02,Auckland Region,2.95
2020-03-02,Bay of Plenty Region,1.05
2020-03-02,Canterbury Region,-2.52
2020-03-02,Gisborne Region,1.31
2020-03-02,Hawke's Bay Region,6.22
2020-03-02,Manawatu-Wanganui Region,4
2020-03-02,Marlborough Region,10.05
2020-03-02,Nelson Region,-2.16
2020-03-02,Northland Region,-5.92
2020-03-02,Otago Region,-4.74
2020-03-02,Southland Region,-2.72
2020-03-02,Taranaki Region,3.55
2020-03-02,Tasman Region,-9.24
2020-03-02,Waikato Region,-4.43
2020-03-02,Wellington Region,5.71
2020-03-02,West Coast Region,-2.37
2020-03-03,Auckland Region,-1.04
2020-03-03,Bay of Plenty Region,-2.05
2020-03-03,Canterbury Region,-4.55
2020-03-03,Gisborne Region,-2.35
2020-03-03,Hawke's Bay Region,2.76
2020-03-03,Manawatu-Wanganui Region,3.47
2020-03-03,Marlborough Region,-1.55
2020-03-03,Nelson Region,-5.18
2020-03-03,Northland Region,-7.59
2020-03-03,Otago Region,-6.52
2020-03-03,Southland Region,-3.62
2020-03-03,Taranaki Region,0.54
2020-03-03,Tasman Region,-3.88
2020-03-03,Waikato Region,-5.52
2020-03-03,Wellington Region,0.99
2020-03-03,West Coast Region,1.88
2020-03-04,Auckland Region,-0.01
2020-03-04,Bay of Plenty Region,-0.57
2020-03-04,Canterbury Region,-4.51
2020-03-04,Gisborne Region,6.29
2020-03-04,Hawke's Bay Region,-0.57
2020-03-04,Manawatu-Wanganui Region,1.29
2020-03-04,Marlborough Region,-0.37
2020-03-04,Nelson Region,-1.98
2020-03-04,Northland Region,-6.08
2020-03-04,Otago Region,-4.84
2020-03-04,Southland Region,-1.66
2020-03-04,Taranaki Region,2.23
2020-03-04,Tasman Region,-9.25
2020-03-04,Waikato Region,-3.3
2020-03-04,Wellington Region,2.17
2020-03-04,West Coast Region,-1.5
2020-03-05,Auckland Region,-1.72
2020-03-05,Bay of Plenty Region,-1.54
2020-03-05,Canterbury Region,-0.69
2020-03-05,Gisborne Region,3.31
2020-03-05,Hawke's Bay Region,0.21
2020-03-05,Manawatu-Wanganui Region,4.32
2020-03-05,Marlborough Region,14.49
2020-03-05,Nelson Region,20.19
2020-03-05,Northland Region,-0.62
2020-03-05,Otago Region,3.92
2020-03-05,Southland Region,2.16
2020-03-05,Taranaki Region,0.66
2020-03-05,Tasman Region,4.7
2020-03-05,Waikato Region,-4.92
2020-03-05,Wellington Region,1.81
2020-03-05,West Coast Region,-3.69
2020-03-06,Auckland Region,-3.25
2020-03-06,Bay of Plenty Region,-3.71
2020-03-06,Canterbury Region,-4.66
2020-03-06,Gisborne Region,2.43
2020-03-06,Hawke's Bay Region,-2.52
2020-03-06,Manawatu-Wanganui Region,0.73
2020-03-06,Marlborough Region,16.03
2020-03-06,Nelson Region,0.77
2020-03-06,Northland Region,-0.52
2020-03-06,Otago Region,-2.16
2020-03-06,Southland Region,-1.57
2020-03-06,Taranaki Region,-7.59
2020-03-06,Tasman Region,-0.72
2020-03-06,Waikato Region,-2.26
2020-03-06,Wellington Region,0.74
2020-03-06,West Coast Region,12.41
2020-03-07,Auckland Region,-17.45
2020-03-07,Bay of Plenty Region,-6.39
2020-03-07,Canterbury Region,-3.06
2020-03-07,Gisborne Region,-14.33
2020-03-07,Hawke's Bay Region,-1.88
2020-03-07,Manawatu-Wanganui Region,-5.3
2020-03-07,Marlborough Region,13.91
2020-03-07,Nelson Region,-11.75
2020-03-07,Northland Region,-15.95
2020-03-07,Otago Region,4.39
2020-03-07,Southland Region,-1.84
2020-03-07,Taranaki Region,-8.06
2020-03-07,Tasman Region,-0.29
2020-03-07,Waikato Region,-8.63
2020-03-07,Wellington Region,5.46
2020-03-07,West Coast Region,11.57
2020-03-08,Auckland Region,-11.08
2020-03-08,Bay of Plenty Region,-4.77
2020-03-08,Canterbury Region,-2.43
2020-03-08,Gisborne Region,-9.31
2020-03-08,Hawke's Bay Region,10.83
2020-03-08,Manawatu-Wanganui Region,-3.73
2020-03-08,Marlborough Region,34.5
2020-03-08,Nelson Region,16.72
2020-03-08,Northland Region,-9.74
2020-03-08,Otago Region,-1.7
2020-03-08,Southland Region,2.1
2020-03-08,Taranaki Region,-4.41
2020-03-08,Tasman Region,18.24
2020-03-08,Waikato Region,4.09
2020-03-08,Wellington Region,2.4
2020-03-08,West Coast Region,27.43
2020-03-09,Auckland Region,3.61
2020-03-09,Bay of Plenty Region,4.37
2020-03-09,Canterbury Region,-1.63
2020-03-09,Gisborne Region,2.28
2020-03-09,Hawke's Bay Region,5.27
2020-03-09,Manawatu-Wanganui Region,3.14
2020-03-09,Marlborough Region,14.88
2020-03-09,Nelson Region,11.67
2020-03-09,Northland Region,-5.2
2020-03-09,Otago Region,-1.43
2020-03-09,Southland Region,5.78
2020-03-09,Taranaki Region,-43.15
2020-03-09,Tasman Region,3.53
2020-03-09,Waikato Region,-1.35
2020-03-09,Wellington Region,3.01
2020-03-09,West Coast Region,6.19
2020-03-10,Auckland Region,-1.75
2020-03-10,Bay of Plenty Region,1.69
2020-03-10,Canterbury Region,-3.91
2020-03-10,Gisborne Region,-0.87
2020-03-10,Hawke's Bay Region,0.19
2020-03-10,Manawatu-Wanganui Region,0.42
2020-03-10,Marlborough Region,11.24
2020-03-10,Nelson Region,-1.27
2020-03-10,Northland Region,-7.92
2020-03-10,Otago Region,-3.51
2020-03-10,Southland Region,-0.32
2020-03-10,Taranaki Region,1.65
2020-03-10,Tasman Region,-1.41
2020-03-10,Waikato Region,-1.16
2020-03-10,Wellington Region,0.1
2020-03-10,West Coast Region,0.31
2020-03-11,Auckland Region,0.16
2020-03-11,Bay of Plenty Region,2.92
2020-03-11,Canterbury Region,-3.6
2020-03-11,Gisborne Region,1.47
2020-03-11,Hawke's Bay Region,0.91
2020-03-11,Manawatu-Wanganui Region,5.96
2020-03-11,Marlborough Region,11.63
2020-03-11,Nelson Region,0.73
2020-03-11,Northland Region,-5.81
2020-03-11,Otago Region,-2.55
2020-03-11,Southland Region,2.72
2020-03-11,Taranaki Region,1.84
2020-03-11,Tasman Region,4.19
2020-03-11,Waikato Region,1.36
2020-03-11,Wellington Region,1.84
2020-03-11,West Coast Region,3.68
2020-03-12,Auckland Region,-0.43
2020-03-12,Bay of Plenty Region,1.14
2020-03-12,Canterbury Region,-5.49
2020-03-12,Gisborne Region,-0.74
2020-03-12,Hawke's Bay Region,1.53
2020-03-12,Manawatu-Wanganui Region,1.67
2020-03-12,Marlborough Region,13.05
2020-03-12,Nelson Region,0.54
2020-03-12,Northland Region,-7.38
2020-03-12,Otago Region,0.09
2020-03-12,Southland Region,0.63
2020-03-12,Taranaki Region,1.13
2020-03-12,Tasman Region,1.09
2020-03-12,Waikato Region,-1.08
2020-03-12,Wellington Region,0.86
2020-03-12,West Coast Region,-0.73
2020-03-13,Auckland Region,-2.93
2020-03-13,Bay of Plenty Region,-3.92
2020-03-13,Canterbury Region,-4.51
2020-03-13,Gisborne Region,1.83
