sa2_type,timestamp,pop_scaled
Recreational,2020-03-15T00:00:00Z,3.62
Recreational,2020-03-15T01:00:00Z,3.42
Recreational,2020-03-15T02:00:00Z,3.24
Recreational,2020-03-15T03:00:00Z,3.13
Recreational,2020-03-15T04:00:00Z,3.26
Recreational,2020-03-15T05:00:00Z,3.75
Recreational,2020-03-15T06:00:00Z,4.15
Recreational,2020-03-15T07:00:00Z,4.45
Recreational,2020-03-15T08:00:00Z,4.68
Recreational,2020-03-15T09:00:00Z,4.74
Recreational,2020-03-15T10:00:00Z,4.67
Recreational,2020-03-15T11:00:00Z,4.61
Recreational,2020-03-15T12:00:00Z,4.55
Recreational,2020-03-15T13:00:00Z,4.49
Recreational,2020-03-15T14:00:00Z,4.13
Recreational,2020-03-15T15:00:00Z,3.58
Recreational,2020-03-15T16:00:00Z,2.96
Recreational,2020-03-15T17:00:00Z,2.28
Recreational,2020-03-15T18:00:00Z,1.68
Recreational,2020-03-15T19:00:00Z,1.29
Recreational,2020-03-15T20:00:00Z,0.94
Recreational,2020-03-15T21:00:00Z,0.68
Recreational,2020-03-15T22:00:00Z,0.54
Recreational,2020-03-15T23:00:00Z,0.4
Recreational,2020-03-16T00:00:00Z,0.22
Recreational,2020-03-16T01:00:00Z,0.08
Recreational,2020-03-16T02:00:00Z,-0.04
Recreational,2020-03-16T03:00:00Z,-0.21
Recreational,2020-03-16T04:00:00Z,-0.25
Recreational,2020-03-16T05:00:00Z,-0.17
Recreational,2020-03-16T06:00:00Z,-0.1
Recreational,2020-03-16T07:00:00Z,-0.01
Recreational,2020-03-16T08:00:00Z,-0.05
Recreational,2020-03-16T09:00:00Z,-0.15
Recreational,2020-03-16T10:00:00Z,-0.21
Recreational,2020-03-16T11:00:00Z,-0.39
Recreational,2020-03-16T12:00:00Z,-0.48
Recreational,2020-03-16T13:00:00Z,-0.56
Recreational,2020-03-16T14:00:00Z,-0.62
Recreational,2020-03-16T15:00:00Z,-0.71
Recreational,2020-03-16T16:00:00Z,-0.72
Recreational,2020-03-16T17:00:00Z,-0.63
Recreational,2020-03-16T18:00:00Z,-0.51
Recreational,2020-03-16T19:00:00Z,-0.38
Recreational,2020-03-16T20:00:00Z,-0.35
Recreational,2020-03-16T21:00:00Z,-0.27
Recreational,2020-03-16T22:00:00Z,-0.26
Recreational,2020-03-16T23:00:00Z,-0.3
Recreational,2020-03-17T00:00:00Z,-0.36
Recreational,2020-03-17T01:00:00Z,-0.46
Recreational,2020-03-17T02:00:00Z,-0.54
Recreational,2020-03-17T03:00:00Z,-0.67
Recreational,2020-03-17T04:00:00Z,-0.7
Recreational,2020-03-17T05:00:00Z,-0.66
Recreational,2020-03-17T06:00:00Z,-0.58
Recreational,2020-03-17T07:00:00Z,-0.53
Recreational,2020-03-17T08:00:00Z,-0.57
Recreational,2020-03-17T09:00:00Z,-0.75
Recreational,2020-03-17T10:00:00Z,-0.82
Recreational,2020-03-17T11:00:00Z,-0.94
Recreational,2020-03-17T12:00:00Z,-1.02
Recreational,2020-03-17T13:00:00Z,-1.11
Recreational,2020-03-17T14:00:00Z,-1.14
Recreational,2020-03-17T15:00:00Z,-1.16
Recreational,2020-03-17T16:00:00Z,-1.09
Recreational,2020-03-17T17:00:00Z,-0.94
Recreational,2020-03-17T18:00:00Z,-0.73
Recreational,2020-03-17T19:00:00Z,-0.55
Recreational,2020-03-17T20:00:00Z,-0.44
Recreational,2020-03-17T21:00:00Z,-0.29
Recreational,2020-03-17T22:00:00Z,-0.28
Recreational,2020-03-17T23:00:00Z,-0.35
Recreational,2020-03-18T00:00:00Z,-0.36
Recreational,2020-03-18T01:00:00Z,-0.44
Recreational,2020-03-18T02:00:00Z,-0.56
Recreational,2020-03-18T03:00:00Z,-0.73
Recreational,2020-03-18T04:00:00Z,-0.82
Recreational,2020-03-18T05:00:00Z,-0.63
Recreational,2020-03-18T06:00:00Z,-0.49
