days,regc2018_name,mobility
2020-03-10,Tasman Region,-22.12
2020-03-10,Waikato Region,-2.18
2020-03-10,Wellington Region,8.21
2020-03-10,West Coast Region,-9.91
2020-03-11,Auckland Region,-1.63
2020-03-11,Bay of Plenty Region,-0.97
2020-03-11,Canterbury Region,-5.74
2020-03-11,Gisborne Region,-0.74
2020-03-11,Hawke's Bay Region,-2.93
2020-03-11,Manawatu-Wanganui Region,3.18
2020-03-11,Marlborough Region,-8.4
2020-03-11,Nelson Region,-30.46
2020-03-11,Northland Region,-7.78
2020-03-11,Otago Region,-16.29
2020-03-11,Southland Region,-7.93
2020-03-11,Taranaki Region,-3.53
2020-03-11,Tasman Region,-15.37
2020-03-11,Waikato Region,-1.13
2020-03-11,Wellington Region,8.59
2020-03-11,West Coast Region,-8.88
2020-03-12,Auckland Region,-2.9
2020-03-12,Bay of Plenty Region,-4.12
2020-03-12,Canterbury Region,-8.67
2020-03-12,Gisborne Region,-5.69
2020-03-12,Hawke's Bay Region,-1.7
2020-03-12,Manawatu-Wanganui Region,0.5
2020-03-12,Marlborough Region,0.29
2020-03-12,Nelson Region,-27.52
2020-03-12,Northland Region,-8.25
2020-03-12,Otago Region,-13.68
2020-03-12,Southland Region,-11.44
2020-03-12,Taranaki Region,-3.28
2020-03-12,Tasman Region,-15.67
2020-03-12,Waikato Region,-2.99
2020-03-12,Wellington Region,8.26
2020-03-12,West Coast Region,-13.07
2020-03-13,Auckland Region,-5.83
2020-03-13,Bay of Plenty Region,-7.86
2020-03-13,Canterbury Region,-5.74
2020-03-13,Gisborne Region,2.25
2020-03-13,Hawke's Bay Region,0.04
2020-03-13,Manawatu-Wanganui Region,0.35
2020-03-13,Marlborough Region,23.86
2020-03-13,Nelson Region,-30.34
2020-03-13,Northland Region,-5.95
2020-03-13,Otago Region,-12.65
2020-03-13,Southland Region,-8.86
2020-03-13,Taranaki Region,11.11
2020-03-13,Tasman Region,-18.66
2020-03-13,Waikato Region,-0.91
2020-03-13,Wellington Region,6.06
2020-03-13,West Coast Region,-7.78
2020-03-14,Auckland Region,-13.87
2020-03-14,Bay of Plenty Region,-11.11
2020-03-14,Canterbury Region,-13.54
2020-03-14,Gisborne Region,-0.95
2020-03-14,Hawke's Bay Region,5.65
2020-03-14,Manawatu-Wanganui Region,1.49
2020-03-14,Marlborough Region,16.75
2020-03-14,Nelson Region,-28.34
2020-03-14,Northland Region,-11.13
2020-03-14,Otago Region,-18.37
2020-03-14,Southland Region,-2.77
2020-03-14,Taranaki Region,11.93
2020-03-14,Tasman Region,-12.72
2020-03-14,Waikato Region,-9.78
2020-03-14,Wellington Region,-3.51
2020-03-14,West Coast Region,-7.77
2020-03-15,Auckland Region,-18.52
2020-03-15,Bay of Plenty Region,-9.43
2020-03-15,Canterbury Region,-9.33
2020-03-15,Gisborne Region,2.04
2020-03-15,Hawke's Bay Region,14.31
2020-03-15,Manawatu-Wanganui Region,-0.67
2020-03-15,Marlborough Region,7.91
2020-03-15,Nelson Region,-43.29
2020-03-15,Northland Region,-6.99
2020-03-15,Otago Region,-10.85
2020-03-15,Southland Region,-9.3
2020-03-15,Taranaki Region,10.46
2020-03-15,Tasman Region,-14.33
2020-03-15,Waikato Region,5.15
2020-03-15,Wellington Region,0
2020-03-15,West Coast Region,-6
2020-03-16,Auckland Region,-2.21
2020-03-16,Bay of Plenty Region,-4.39
2020-03-16,Canterbury Region,-7.12
2020-03-16,Gisborne Region,-3.57
2020-03-16,Hawke's Bay Region,-0.73
2020-03-16,Manawatu-Wanganui Region,2
2020-03-16,Marlborough Region,0.38
2020-03-16,Nelson Region,-28.78
2020-03-16,Northland Region,-7.47
2020-03-16,Otago Region,-17.65
2020-03-16,Southland Region,-14.55
2020-03-16,Taranaki Region,0.81
2020-03-16,Tasman Region,-19.87
2020-03-16,Waikato Region,-5.91
2020-03-16,Wellington Region,7.58
2020-03-16,West Coast Region,-3.62
2020-03-17,Auckland Region,-9.58
2020-03-17,Bay of Plenty Region,-7.49
2020-03-17,Canterbury Region,-10.54
2020-03-17,Gisborne Region,-6.83
2020-03-17,Hawke's Bay Region,-4.9
2020-03-17,Manawatu-Wanganui Region,-1.37
2020-03-17,Marlborough Region,-8.73
2020-03-17,Nelson Region,-30.85
2020-03-17,Northland Region,-6.99
2020-03-17,Otago Region,-20.42
2020-03-17,Southland Region,-13.36
2020-03-17,Taranaki Region,-4.38
2020-03-17,Tasman Region,-20.72
2020-03-17,Waikato Region,-8.01
2020-03-17,Wellington Region,1.1
2020-03-17,West Coast Region,-3.43
2020-03-18,Auckland Region,-12.21
2020-03-18,Bay of Plenty Region,-8.02
2020-03-18,Canterbury Region,-10.59
2020-03-18,Gisborne Region,-5.69
2020-03-18,Hawke's Bay Region,-6.45
2020-03-18,Manawatu-Wanganui Region,-1.62
2020-03-18,Marlborough Region,-11.9
2020-03-18,Nelson Region,-28.62
2020-03-18,Northland Region,-10.16
2020-03-18,Otago Region,-23.01
2020-03-18,Southland Region,-13.63
2020-03-18,Taranaki Region,-4.7
2020-03-18,Tasman Region,-19.42
2020-03-18,Waikato Region,-9.38
2020-03-18,Wellington Region,-1.32
2020-03-18,West Coast Region,-13.4
2020-03-19,Auckland Region,-13.78
2020-03-19,Bay of Plenty Region,-9.21
2020-03-19,Canterbury Region,-12.58
2020-03-19,Gisborne Region,-9.58
2020-03-19,Hawke's Bay Region,-5.18
2020-03-19,Manawatu-Wanganui Region,-1.24
2020-03-19,Marlborough Region,-13.52
2020-03-19,Nelson Region,-29.49
2020-03-19,Northland Region,-11.51
2020-03-19,Otago Region,-24.4
2020-03-19,Southland Region,-17.07
2020-03-19,Taranaki Region,-5.96
2020-03-19,Tasman Region,-20.68
2020-03-19,Waikato Region,-11.82
2020-03-19,Wellington Region,-4.61
2020-03-19,West Coast Region,-14.88
2020-03-20,Auckland Region,-15.06
2020-03-20,Bay of Plenty Region,-11.43
2020-03-20,Canterbury Region,-13.67
2020-03-20,Gisborne Region,-7.57
2020-03-20,Hawke's Bay Region,-7.21
2020-03-20,Manawatu-Wanganui Region,-5.42
2020-03-20,Marlborough Region,-18.94
2020-03-20,Nelson Region,-33.98
2020-03-20,Northland Region,-6.37
2020-03-20,Otago Region,-27.26
2020-03-20,Southland Region,-20.57
2020-03-20,Taranaki Region,-10.77
2020-03-20,Tasman Region,-24.38
2020-03-20,Waikato Region,-12.89
2020-03-20,Wellington Region,-9.75
2020-03-20,West Coast Region,-15.5
2020-03-21,Auckland Region,-35.19
2020-03-21,Bay of Plenty Region,-26.06
2020-03-21,Canterbury Region,-32.17
2020-03-21,Gisborne Region,-21.8
2020-03-21,Hawke's Bay Region,-17.87
2020-03-21,Manawatu-Wanganui Region,-18.98
2020-03-21,Marlborough Region,-10.91
2020-03-21,Nelson Region,-44.19
2020-03-21,Northland Region,-19.57
2020-03-21,Otago Region,-45.19
2020-03-21,Southland Region,-34.28
2020-03-21,Taranaki Region,-26.36
2020-03-21,Tasman Region,-31.06
2020-03-21,Waikato Region,-25.77
2020-03-21,Wellington Region,-24.57
2020-03-21,West Coast Region,-23.54
2020-03-22,Auckland Region,-37.23
2020-03-22,Bay of Plenty Region,-23.59
2020-03-22,Canterbury Region,-24.55
2020-03-22,Gisborne Region,-17.37
2020-03-22,Hawke's Bay Region,-18.27
2020-03-22,Manawatu-Wanganui Region,-19.26
2020-03-22,Marlborough Region,-12.41
2020-03-22,Nelson Region,-41.95
2020-03-22,Northland Region,-15.83
2020-03-22,Otago Region,-38.98
2020-03-22,Southland Region,-36.28
2020-03-22,Taranaki Region,-24.68
2020-03-22,Tasman Region,-30.5
2020-03-22,Waikato Region,-22.67
2020-03-22,Wellington Region,-21.22
2020-03-22,West Coast Region,-32.07
2020-03-23,Auckland Region,-1.57
2020-03-23,Bay of Plenty Region,-12.15
2020-03-23,Canterbury Region,-15.82
2020-03-23,Gisborne Region,-2.28
2020-03-23,Hawke's Bay Region,-4.85
2020-03-23,Manawatu-Wanganui Region,-0.66
2020-03-23,Marlborough Region,-16.41
2020-03-23,Nelson Region,-27.84
2020-03-23,Northland Region,10.19
2020-03-23,Otago Region,-44.19
2020-03-23,Southland Region,-20.21
2020-03-23,Taranaki Region,-7.23
2020-03-23,Tasman Region,-21.14
2020-03-23,Waikato Region,-19.17
2020-03-23,Wellington Region,-21.76
2020-03-23,West Coast Region,-17.78
2020-03-24,Auckland Region,-40.58
2020-03-24,Bay of Plenty Region,-33.83
2020-03-24,Canterbury Region,-31.52
2020-03-24,Gisborne Region,-19.65
2020-03-24,Hawke's Bay Region,-25.38
2020-03-24,Manawatu-Wanganui Region,-22.99
2020-03-24,Marlborough Region,-30.33
2020-03-24,Nelson Region,-44.91
2020-03-24,Northland Region,-14.27
2020-03-24,Otago Region,-35.66
2020-03-24,Southland Region,-30.4
2020-03-24,Taranaki Region,-30.55
2020-03-24,Tasman Region,-31.53
2020-03-24,Waikato Region,-36.68
2020-03-24,Wellington Region,-48.8
2020-03-24,West Coast Region,-20.3
2020-03-25,Auckland Region,-51.29
2020-03-25,Bay of Plenty Region,-43.98
2020-03-25,Canterbury Region,-44.56
2020-03-25,Gisborne Region,-26.12
2020-03-25,Hawke's Bay Region,-36.78
2020-03-25,Manawatu-Wanganui Region,-32.95
2020-03-25,Marlborough Region,-32.81
2020-03-25,Nelson Region,-47.17
2020-03-25,Northland Region,-21.99
2020-03-25,Otago Region,-47.46
2020-03-25,Southland Region,-41.66
2020-03-25,Taranaki Region,-38.84
2020-03-25,Tasman Region,-43.31
2020-03-25,Waikato Region,-46.7
2020-03-25,Wellington Region,-58.36
2020-03-25,West Coast Region,-33.6
2020-03-26,Auckland Region,-42.98
2020-03-26,Bay of Plenty Region,-49.84
2020-03-26,Canterbury Region,-47.57
2020-03-26,Gisborne Region,-50.28
2020-03-26,Hawke's Bay Region,-56.4
2020-03-26,Manawatu-Wanganui Region,-56.67
2020-03-26,Marlborough Region,-28.98
2020-03-26,Nelson Region,-50.77
2020-03-26,Northland Region,-48.2
2020-03-26,Otago Region,-44.09
2020-03-26,Southland Region,-56.3
2020-03-26,Taranaki Region,-63.38
2020-03-26,Tasman Region,-32.28
2020-03-26,Waikato Region,-49.4
2020-03-26,Wellington Region,-65.75
2020-03-26,West Coast Region,-37.81
2020-03-27,Auckland Region,-67.26
2020-03-27,Bay of Plenty Region,-60.75
2020-03-27,Canterbury Region,-64.98
2020-03-27,Gisborne Region,-50.51
2020-03-27,Hawke's Bay Region,-55.09
2020-03-27,Manawatu-Wanganui Region,-57.03
2020-03-27,Marlborough Region,-45.78
2020-03-27,Nelson Region,-64.73
2020-03-27,Northland Region,-47.67
2020-03-27,Otago Region,-64.65
2020-03-27,Southland Region,-62.78
2020-03-27,Taranaki Region,-65.93
2020-03-27,Tasman Region,-54.93
2020-03-27,Waikato Region,-61.39
2020-03-27,Wellington Region,-70.08
2020-03-27,West Coast Region,-52.97
2020-03-28,Auckland Region,-57.87
2020-03-28,Bay of Plenty Region,-55.65
2020-03-28,Canterbury Region,-58.36
2020-03-28,Gisborne Region,-46.38
2020-03-28,Hawke's Bay Region,-51.96
2020-03-28,Manawatu-Wanganui Region,-48.8
2020-03-28,Marlborough Region,-45.16
2020-03-28,Nelson Region,-64.92
2020-03-28,Northland Region,-38.41
2020-03-28,Otago Region,-61.66
2020-03-28,Southland Region,-58.71
2020-03-28,Taranaki Region,-60.92
2020-03-28,Tasman Region,-43.38
2020-03-28,Waikato Region,-54.93
2020-03-28,Wellington Region,-59.15
2020-03-28,West Coast Region,-51.84
2020-03-29,Auckland Region,-55.12
2020-03-29,Bay of Plenty Region,-53.82
2020-03-29,Canterbury Region,-56.58
2020-03-29,Gisborne Region,-41.17
2020-03-29,Hawke's Bay Region,-48.33
2020-03-29,Manawatu-Wanganui Region,-45.93
2020-03-29,Marlborough Region,-43.21
2020-03-29,Nelson Region,-53.38
2020-03-29,Northland Region,-28.32
2020-03-29,Otago Region,-58.17
2020-03-29,Southland Region,-56.77
2020-03-29,Taranaki Region,-55.04
2020-03-29,Tasman Region,-45.52
2020-03-29,Waikato Region,-55.01
2020-03-29,Wellington Region,-54.23
2020-03-29,West Coast Region,-53.25
2020-03-30,Auckland Region,-66.86
2020-03-30,Bay of Plenty Region,-60.71
2020-03-30,Canterbury Region,-64.9
2020-03-30,Gisborne Region,-47.83
2020-03-30,Hawke's Bay Region,-56.46
2020-03-30,Manawatu-Wanganui Region,-54.1
2020-03-30,Marlborough Region,-44.23
2020-03-30,Nelson Region,-64.43
2020-03-30,Northland Region,-43.76
2020-03-30,Otago Region,-61.51
2020-03-30,Southland Region,-59.86
2020-03-30,Taranaki Region,-63.54
2020-03-30,Tasman Region,-55.05
2020-03-30,Waikato Region,-58.72
2020-03-30,Wellington Region,-70.43
2020-03-30,West Coast Region,-52.17
2020-03-31,Auckland Region,-67.52
2020-03-31,Bay of Plenty Region,-61.34
2020-03-31,Canterbury Region,-65.08
2020-03-31,Gisborne Region,-53.94
2020-03-31,Hawke's Bay Region,-57.19
2020-03-31,Manawatu-Wanganui Region,-56.18
2020-03-31,Marlborough Region,-46.92
2020-03-31,Nelson Region,-66.32
2020-03-31,Northland Region,-45.15
2020-03-31,Otago Region,-63.67
2020-03-31,Southland Region,-60.52
2020-03-31,Taranaki Region,-61.82
2020-03-31,Tasman Region,-58.14
2020-03-31,Waikato Region,-59.81
2020-03-31,Wellington Region,-71.69
2020-03-31,West Coast Region,-55.54
2020-04-01,Auckland Region,-66.9
2020-04-01,Bay of Plenty Region,-59.98
2020-04-01,Canterbury Region,-64.7
2020-04-01,Gisborne Region,-47.55
2020-04-01,Hawke's Bay Region,-56.36
