timestamp,segment,pop,days
2020-04-08T12:00:00Z,local,4777266,2020-04-08
2020-04-08T12:00:00Z,unknown,45666,2020-04-08
2020-04-09T12:00:00Z,domestic,139332,2020-04-09
2020-04-09T12:00:00Z,international,149274,2020-04-09
2020-04-09T12:00:00Z,local,4767741,2020-04-09
2020-04-09T12:00:00Z,unknown,47688,2020-04-09
2020-04-10T12:00:00Z,domestic,115914,2020-04-10
2020-04-10T12:00:00Z,international,147507,2020-04-10
2020-04-10T12:00:00Z,local,4793388,2020-04-10
2020-04-10T12:00:00Z,unknown,45117,2020-04-10
2020-04-11T12:00:00Z,domestic,123642,2020-04-11
2020-04-11T12:00:00Z,international,145800,2020-04-11
2020-04-11T12:00:00Z,local,4787388,2020-04-11
2020-04-11T12:00:00Z,unknown,43245,2020-04-11
2020-04-12T12:00:00Z,domestic,114495,2020-04-12
2020-04-12T12:00:00Z,international,144777,2020-04-12
2020-04-12T12:00:00Z,local,4797795,2020-04-12
2020-04-12T12:00:00Z,unknown,42711,2020-04-12
2020-04-13T12:00:00Z,domestic,114111,2020-04-13
2020-04-13T12:00:00Z,international,142194,2020-04-13
2020-04-13T12:00:00Z,local,4795269,2020-04-13
2020-04-13T12:00:00Z,unknown,45579,2020-04-13
2020-04-14T12:00:00Z,domestic,141927,2020-04-14
2020-04-14T12:00:00Z,international,140874,2020-04-14
2020-04-14T12:00:00Z,local,4763976,2020-04-14
2020-04-14T12:00:00Z,unknown,49911,2020-04-14
2020-04-15T12:00:00Z,domestic,147030,2020-04-15
2020-04-15T12:00:00Z,international,140433,2020-04-15
2020-04-15T12:00:00Z,local,4757145,2020-04-15
2020-04-15T12:00:00Z,unknown,51558,2020-04-15
2020-04-16T12:00:00Z,domestic,151884,2020-04-16
2020-04-16T12:00:00Z,international,139890,2020-04-16
2020-04-16T12:00:00Z,local,4753434,2020-04-16
2020-04-16T12:00:00Z,unknown,50325,2020-04-16
2020-04-17T12:00:00Z,domestic,146937,2020-04-17
2020-04-17T12:00:00Z,international,139236,2020-04-17
2020-04-17T12:00:00Z,local,4757382,2020-04-17
2020-04-17T12:00:00Z,unknown,51879,2020-04-17
2020-04-18T12:00:00Z,domestic,124452,2020-04-18
2020-04-18T12:00:00Z,international,138786,2020-04-18
2020-04-18T12:00:00Z,local,4782348,2020-04-18
2020-04-18T12:00:00Z,unknown,48357,2020-04-18
2020-04-19T12:00:00Z,domestic,121638,2020-04-19
2020-04-19T12:00:00Z,international,137820,2020-04-19
2020-04-19T12:00:00Z,local,4788354,2020-04-19
2020-04-19T12:00:00Z,unknown,47220,2020-04-19
2020-04-20T12:00:00Z,domestic,148500,2020-04-20
2020-04-20T12:00:00Z,international,137361,2020-04-20
2020-04-20T12:00:00Z,local,4758879,2020-04-20
2020-04-20T12:00:00Z,unknown,49866,2020-04-20
2020-04-21T12:00:00Z,domestic,154176,2020-04-21
2020-04-21T12:00:00Z,international,137508,2020-04-21
2020-04-21T12:00:00Z,local,4749240,2020-04-21
2020-04-21T12:00:00Z,unknown,53169,2020-04-21
2020-04-22T12:00:00Z,domestic,157470,2020-04-22
2020-04-22T12:00:00Z,international,137013,2020-04-22
2020-04-22T12:00:00Z,local,4744206,2020-04-22
2020-04-22T12:00:00Z,unknown,54306,2020-04-22
2020-04-23T12:00:00Z,domestic,162042,2020-04-23
2020-04-23T12:00:00Z,international,136812,2020-04-23
2020-04-23T12:00:00Z,local,4735110,2020-04-23
2020-04-23T12:00:00Z,unknown,59499,2020-04-23
2020-04-24T12:00:00Z,domestic,163791,2020-04-24
2020-04-24T12:00:00Z,international,136794,2020-04-24
2020-04-24T12:00:00Z,local,4734573,2020-04-24
2020-04-24T12:00:00Z,unknown,58281,2020-04-24
2020-04-25T12:00:00Z,domestic,133803,2020-04-25
2020-04-25T12:00:00Z,international,136203,2020-04-25
2020-04-25T12:00:00Z,local,4772760,2020-04-25
2020-04-25T12:00:00Z,unknown,50007,2020-04-25
2020-04-26T12:00:00Z,domestic,133659,2020-04-26
2020-04-26T12:00:00Z,international,136206,2020-04-26
2020-04-26T12:00:00Z,local,4776687,2020-04-26
2020-04-26T12:00:00Z,unknown,46215,2020-04-26
2020-04-27T12:00:00Z,domestic,138285,2020-04-27
2020-04-27T12:00:00Z,international,135768,2020-04-27
2020-04-27T12:00:00Z,local,4771536,2020-04-27
2020-04-27T12:00:00Z,unknown,47058,2020-04-27
2020-04-28T12:00:00Z,domestic,228282,2020-04-28
2020-04-28T12:00:00Z,international,134886,2020-04-28
2020-04-28T12:00:00Z,local,4647762,2020-04-28
2020-04-28T12:00:00Z,unknown,82611,2020-04-28
2020-04-29T12:00:00Z,domestic,238347,2020-04-29
2020-04-29T12:00:00Z,international,134328,2020-04-29
2020-04-29T12:00:00Z,local,4639368,2020-04-29
2020-04-29T12:00:00Z,unknown,81126,2020-04-29
2020-04-30T12:00:00Z,domestic,232599,2020-04-30
2020-04-30T12:00:00Z,international,134262,2020-04-30
2020-04-30T12:00:00Z,local,4660062,2020-04-30
2020-04-30T12:00:00Z,unknown,64800,2020-04-30
2020-05-01T12:00:00Z,domestic,228300,2020-05-01
2020-05-01T12:00:00Z,international,134040,2020-05-01
2020-05-01T12:00:00Z,local,4669032,2020-05-01
2020-05-01T12:00:00Z,unknown,60198,2020-05-01
2020-05-02T12:00:00Z,domestic,202851,2020-05-02
2020-05-02T12:00:00Z,international,134277,2020-05-02
