comparison,regc2018_name,mobility
previous_week,Northland Region,-2.9
previous_week,Auckland Region,-3.3
previous_week,Waikato Region,-5.7
previous_week,Bay of Plenty Region,-5.7
previous_week,Gisborne Region,-6.8
previous_week,Hawke's Bay Region,-3.7
previous_week,Taranaki Region,-5.8
previous_week,Manawatu-Wanganui Region,-5.3
previous_week,Wellington Region,-2.2
previous_week,West Coast Region,-6.4
previous_week,Canterbury Region,-5.8
previous_week,Otago Region,-5.4
previous_week,Southland Region,-10
previous_week,Tasman Region,-5.2
previous_week,Nelson Region,-4.7
previous_week,Marlborough Region,-3.8
previous_year,Northland Region,7
previous_year,Auckland Region,-15.2
previous_year,Waikato Region,-13
previous_year,Bay of Plenty Region,-4.4
previous_year,Gisborne Region,-6.9
previous_year,Hawke's Bay Region,-9.2
previous_year,Taranaki Region,-11.7
previous_year,Manawatu-Wanganui Region,-10.7
previous_year,Wellington Region,-22.9
previous_year,West Coast Region,23.2
previous_year,Canterbury Region,-7.5
previous_year,Otago Region,-1.6
previous_year,Southland Region,-5.6
previous_year,Tasman Region,0.9
previous_year,Nelson Region,1.8
previous_year,Marlborough Region,13.2
