sa2_type,timestamp,pop_scaled
Recreational,2020-03-18T23:00:00Z,-0.7442334450011461
Recreational,2020-03-19T00:00:00Z,-0.6924893383046818
Recreational,2020-03-19T01:00:00Z,-0.688307996349412
Recreational,2020-03-19T02:00:00Z,-0.67680930597242
Recreational,2020-03-19T03:00:00Z,-0.6851719898829596
Recreational,2020-03-19T04:00:00Z,-0.686217325371777
Recreational,2020-03-19T05:00:00Z,-0.7233267352247968
Recreational,2020-03-19T06:00:00Z,-0.807998909819011
Recreational,2020-03-19T07:00:00Z,-0.6924893383046818
Recreational,2020-03-19T08:00:00Z,-0.6856946576273684
Recreational,2020-03-19T09:00:00Z,-0.7363934288350151
Recreational,2020-03-19T10:00:00Z,-0.682558651160916
Recreational,2020-03-19T11:00:00Z,-0.802249564630515
Recreational,2020-03-19T12:00:00Z,-0.7985908904196539
Recreational,2020-03-19T13:00:00Z,-0.8733323778701022
Recreational,2020-03-19T14:00:00Z,-0.8226336066624554
Recreational,2020-03-19T15:00:00Z,-0.871764374636876
Recreational,2020-03-19T16:00:00Z,-0.7996362259084714
Recreational,2020-03-19T17:00:00Z,-0.6491079155187574
Recreational,2020-03-19T18:00:00Z,-0.4348141403111783
Recreational,2020-03-19T19:00:00Z,-0.2973525235316825
Recreational,2020-03-19T20:00:00Z,-0.2309737199917739
Recreational,2020-03-19T21:00:00Z,-0.2649471233783413
Recreational,2020-03-19T22:00:00Z,-0.32662191721857137
Recreational,2020-03-19T23:00:00Z,-0.3992727336913847
Recreational,2020-03-20T00:00:00Z,-0.20274966179370252
Recreational,2020-03-20T01:00:00Z,-0.1755709390844486
Recreational,2020-03-20T02:00:00Z,-0.17138959712917876
Recreational,2020-03-20T03:00:00Z,-0.19752298434961524
Recreational,2020-03-20T04:00:00Z,-0.11703215171067093
Recreational,2020-03-20T05:00:00Z,-0.17870694555090097
Recreational,2020-03-20T06:00:00Z,-0.34021127857319833
Recreational,2020-03-20T07:00:00Z,-0.2633791201451151
Recreational,2020-03-20T08:00:00Z,-0.2111123457042422
Recreational,2020-03-20T09:00:00Z,-0.2362003974358612
Recreational,2020-03-20T10:00:00Z,-0.25135776202371435
Recreational,2020-03-20T11:00:00Z,-0.37470734970417446
Recreational,2020-03-20T12:00:00Z,-0.3595499851163213
Recreational,2020-03-20T13:00:00Z,-0.2508350942793056
Recreational,2020-03-20T14:00:00Z,-0.2273150457809128
Recreational,2020-03-20T15:00:00Z,-0.07365072892474639
Recreational,2020-03-20T16:00:00Z,0.2159072014776896
Recreational,2020-03-20T17:00:00Z,0.6925801843784507
Recreational,2020-03-20T18:00:00Z,1.1896372093111522
Recreational,2020-03-20T19:00:00Z,1.6521981631128777
Recreational,2020-03-20T20:00:00Z,1.949073441937036
Recreational,2020-03-20T21:00:00Z,2.0483803133746945
Recreational,2020-03-20T22:00:00Z,2.0076122293108134
Recreational,2020-03-20T23:00:00Z,1.8795586319306747
Recreational,2020-03-21T00:00:00Z,2.510418599432011
Recreational,2020-03-21T01:00:00Z,2.5323706446971777
Recreational,2020-03-21T02:00:00Z,2.50675992522115
Recreational,2020-03-21T03:00:00Z,2.5255759640198643
Recreational,2020-03-21T04:00:00Z,2.5522320189847094
Recreational,2020-03-21T05:00:00Z,2.5443920028185785
Recreational,2020-03-21T06:00:00Z,2.5909094320709554
Recreational,2020-03-21T07:00:00Z,2.811475220211439
Recreational,2020-03-21T08:00:00Z,3.0743770956490297
Recreational,2020-03-21T09:00:00Z,3.267241493335851
Recreational,2020-03-21T10:00:00Z,3.3817057293613626
Recreational,2020-03-21T11:00:00Z,3.4318818328246006
Recreational,2020-03-21T12:00:00Z,3.660810304875624
Recreational,2020-03-21T13:00:00Z,3.9090774834697704
Recreational,2020-03-21T14:00:00Z,4.077376497169381
Recreational,2020-03-21T15:00:00Z,4.237835494702861
Recreational,2020-03-21T16:00:00Z,4.260832875456845
Recreational,2020-03-21T17:00:00Z,4.205952762293928
Recreational,2020-03-21T18:00:00Z,4.032949738894639
Recreational,2020-03-21T19:00:00Z,3.8662187284282545
Recreational,2020-03-21T20:00:00Z,3.759594508568874
Recreational,2020-03-21T21:00:00Z,3.637290256377231
Recreational,2020-03-21T22:00:00Z,3.5343247107287117
Recreational,2020-03-21T23:00:00Z,3.3691617034955534
Recreational,2020-03-22T00:00:00Z,3.240062770626597
Recreational,2020-03-22T01:00:00Z,3.1752519703199145
Recreational,2020-03-22T02:00:00Z,3.1909320026521764
Recreational,2020-03-22T03:00:00Z,3.2039986962623948
Recreational,2020-03-22T04:00:00Z,3.232745422204875
Recreational,2020-03-22T05:00:00Z,3.244244112581867
Recreational,2020-03-22T06:00:00Z,3.26776416108026
Recreational,2020-03-22T07:00:00Z,3.464287232977942
Recreational,2020-03-22T08:00:00Z,3.7397331342813422
Recreational,2020-03-22T09:00:00Z,3.9038508060256834
Recreational,2020-03-22T10:00:00Z,3.8500160283515843
Recreational,2020-03-22T11:00:00Z,3.6681276532973466
Recreational,2020-03-22T12:00:00Z,3.3592310163517873
Recreational,2020-03-22T13:00:00Z,3.0806491085819347
Recreational,2020-03-22T14:00:00Z,2.713213684262598
Recreational,2020-03-22T15:00:00Z,2.259538082115821
Recreational,2020-03-22T16:00:00Z,1.7802517604930164
Recreational,2020-03-22T17:00:00Z,1.3474828681225886
Recreational,2020-03-22T18:00:00Z,0.9915461341802438
Recreational,2020-03-22T19:00:00Z,0.7553003137074982
Recreational,2020-03-22T20:00:00Z,0.6037266678289668
Recreational,2020-03-22T21:00:00Z,0.4505850187172091
Recreational,2020-03-22T22:00:00Z,0.3350754472028799
Recreational,2020-03-22T23:00:00Z,0.26921931140738
